epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,21913.5,0.67352,0.32234,0.98041,0.99736,0.98792,0.99484,0.84022,0.70385,0.2878,0.9269,0.000410409,0.000410409,0.000410409
74,22185.6,0.66314,0.32044,0.97724,0.9939,0.99516,0.99489,0.8452,0.68939,0.28236,0.94618,0.000396262,0.000396262,0.000396262
75,22458.9,0.65647,0.31539,0.97724,0.99732,0.98719,0.99491,0.83766,0.70271,0.29132,0.94459,0.000382115,0.000382115,0.000382115
76,22731.7,0.67084,0.31411,0.97983,0.99804,0.98607,0.99488,0.84329,0.69026,0.28067,0.93715,0.000367967,0.000367967,0.000367967
77,23004.3,0.66381,0.31422,0.98204,0.98883,0.99498,0.99495,0.84383,0.7034,0.28362,0.95775,0.00035382,0.00035382,0.00035382
78,23276.8,0.65226,0.30914,0.9793,0.99734,0.98723,0.99495,0.84479,0.70111,0.29001,0.94807,0.000339673,0.000339673,0.000339673
79,23548.4,0.66132,0.31186,0.97754,0.99332,0.99555,0.99446,0.84015,0.69576,0.28429,0.94731,0.000325526,0.000325526,0.000325526
80,23819.5,0.65034,0.30719,0.97366,0.99723,0.98936,0.99488,0.84598,0.69276,0.27838,0.95896,0.000311379,0.000311379,0.000311379
81,24091.9,0.64033,0.30616,0.97602,0.99587,0.98956,0.99494,0.84494,0.69441,0.27382,0.92326,0.000297232,0.000297232,0.000297232
82,24364.8,0.65042,0.29949,0.96877,0.99163,0.9906,0.99486,0.83739,0.70401,0.27166,0.91979,0.000283085,0.000283085,0.000283085
83,24636.9,0.63966,0.29743,0.9648,0.9954,0.99134,0.99492,0.84351,0.703,0.27085,0.92755,0.000268938,0.000268938,0.000268938
84,24908.1,0.64305,0.30277,0.96694,0.99616,0.99172,0.99491,0.84158,0.6981,0.26959,0.92676,0.000254791,0.000254791,0.000254791
85,25180.4,0.63199,0.28721,0.96361,0.99969,0.98865,0.99496,0.84855,0.69226,0.26908,0.92602,0.000240644,0.000240644,0.000240644
86,25452,0.63699,0.29621,0.96216,0.99521,0.99062,0.99491,0.84439,0.68516,0.26355,0.91538,0.000226497,0.000226497,0.000226497
87,25724.2,0.63983,0.2908,0.9671,0.99555,0.98914,0.99491,0.84285,0.68784,0.2686,0.92225,0.000212349,0.000212349,0.000212349
88,25996.5,0.62862,0.28706,0.96271,0.99673,0.98545,0.99484,0.84076,0.69688,0.2744,0.92963,0.000198202,0.000198202,0.000198202
