epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,43530.5,0.62413,0.32188,0.96574,0.9782,0.98507,0.99358,0.87201,0.63055,0.27541,0.97728,0.000367967,0.000367967,0.000367967
77,43837.6,0.59525,0.3144,0.95207,0.99043,0.98776,0.9943,0.8807,0.61593,0.26575,0.9687,0.00035382,0.00035382,0.00035382
78,44144.6,0.59868,0.31559,0.95711,0.98947,0.99381,0.99456,0.88318,0.60778,0.26423,0.96675,0.000339673,0.000339673,0.000339673
79,44452.1,0.6064,0.31733,0.95365,0.98492,0.9936,0.99461,0.87451,0.61286,0.26821,0.97084,0.000325526,0.000325526,0.000325526
80,44759.1,0.61418,0.32201,0.95969,0.99899,0.98457,0.99427,0.87356,0.61575,0.26089,0.96392,0.000311379,0.000311379,0.000311379
81,45066.4,0.60685,0.31753,0.95827,0.9916,0.98915,0.99452,0.87438,0.61832,0.26647,0.96743,0.000297232,0.000297232,0.000297232
82,45373.1,0.59509,0.31651,0.94958,0.98918,0.99407,0.99459,0.87666,0.61838,0.26722,0.97127,0.000283085,0.000283085,0.000283085
83,45680.2,0.59214,0.31381,0.95506,0.98784,0.99019,0.99471,0.88196,0.59972,0.25978,0.95831,0.000268938,0.000268938,0.000268938
84,45987.3,0.59089,0.31148,0.94672,0.99896,0.98925,0.99476,0.87808,0.59955,0.25808,0.95794,0.000254791,0.000254791,0.000254791
85,46294.2,0.58928,0.30834,0.94676,0.98854,0.99871,0.99488,0.87878,0.60634,0.25716,0.96804,0.000240644,0.000240644,0.000240644
86,46601.2,0.5897,0.30624,0.95262,0.9953,0.99396,0.9949,0.88018,0.60315,0.25788,0.95758,0.000226497,0.000226497,0.000226497
87,46908.7,0.58387,0.29692,0.94927,0.99602,0.98841,0.99472,0.88211,0.59752,0.2592,0.95626,0.000212349,0.000212349,0.000212349
88,47215.9,0.57005,0.29669,0.93689,0.99723,0.97909,0.99432,0.88076,0.59304,0.25826,0.95516,0.000198202,0.000198202,0.000198202
89,47523.2,0.58373,0.3005,0.94745,0.99248,0.98806,0.99452,0.88154,0.59374,0.25328,0.95705,0.000184055,0.000184055,0.000184055
90,47830.7,0.56298,0.28856,0.93994,0.99854,0.97943,0.99416,0.88774,0.59253,0.25309,0.95634,0.000169908,0.000169908,0.000169908
91,48135.8,0.53184,0.25605,0.90752,0.99831,0.99164,0.99481,0.87802,0.60348,0.26325,0.96138,0.000155761,0.000155761,0.000155761
92,48440.2,0.51285,0.24831,0.90024,0.99743,0.98942,0.99484,0.87351,0.59095,0.25857,0.95482,0.000141614,0.000141614,0.000141614
93,48744.6,0.50981,0.24684,0.89403,0.99773,0.99091,0.99489,0.88654,0.59517,0.25631,0.95513,0.000127467,0.000127467,0.000127467
94,49049.2,0.52576,0.24685,0.89395,0.99733,0.9969,0.995,0.88479,0.59775,0.25231,0.9578,0.00011332,0.00011332,0.00011332
95,49355.1,0.50277,0.24182,0.88918,0.99981,0.98758,0.99471,0.88318,0.59668,0.25056,0.95883,9.91726e-05,9.91726e-05,9.91726e-05
96,49659.9,0.51232,0.2413,0.89885,0.99206,0.99651,0.9949,0.88783,0.59368,0.24902,0.95315,8.50255e-05,8.50255e-05,8.50255e-05
97,49964.9,0.50112,0.23596,0.89103,0.99903,0.98934,0.99485,0.88456,0.59026,0.24855,0.95326,7.08784e-05,7.08784e-05,7.08784e-05
98,50270.3,0.49663,0.23434,0.88142,0.99719,1,0.995,0.88801,0.58503,0.24316,0.95243,5.67313e-05,5.67313e-05,5.67313e-05
99,50575.6,0.49473,0.23002,0.88687,0.999,0.99389,0.99486,0.89088,0.58486,0.24385,0.95253,4.25842e-05,4.25842e-05,4.25842e-05
100,50880.5,0.49987,0.23219,0.88572,0.99707,0.9964,0.995,0.89037,0.5818,0.24139,0.9509,2.84371e-05,2.84371e-05,2.84371e-05
